Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1970,1970,ha,38010,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1971,1971,ha,39105,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1972,1972,ha,41005,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1973,1973,ha,42730,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1974,1974,ha,44737,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1975,1975,ha,59064,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1976,1976,ha,53444,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1977,1977,ha,53636,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1978,1978,ha,53191,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1979,1979,ha,53879,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1980,1980,ha,55510,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1981,1981,ha,54105,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1982,1982,ha,57118,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1983,1983,ha,57841,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1984,1984,ha,49833,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1985,1985,ha,48143,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1986,1986,ha,50510,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1987,1987,ha,54285,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1988,1988,ha,54699,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1989,1989,ha,62121,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1990,1990,ha,55943,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1991,1991,ha,70822,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1992,1992,ha,61851,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1993,1993,ha,67060,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1994,1994,ha,67307,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1995,1995,ha,54786,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1996,1996,ha,63441,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1997,1997,ha,61228,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1998,1998,ha,59200,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1999,1999,ha,57333,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2000,2000,ha,58653,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2001,2001,ha,56868,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2002,2002,ha,57875,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2003,2003,ha,57349,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2004,2004,ha,57380,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2005,2005,ha,57552,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2006,2006,ha,56706,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2007,2007,ha,56339,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2008,2008,ha,56441,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2009,2009,ha,56543,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2010,2010,ha,56321,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2011,2011,ha,56434,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2012,2012,ha,54840,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2013,2013,ha,54880,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2014,2014,ha,57263,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2015,2015,ha,58569,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2016,2016,ha,57500,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",2017,2017,ha,57698,E,Estimated value,,,
